Date,Open,High,Low,Close,Volume,Adj Close
2014-10-20,19900.419922,20095.240234,19860.419922,20089.390625,000,20089.390625
2014-10-17,19682.830078,20028.740234,19682.830078,19900.419922,000,19900.419922
2014-10-16,19617.560547,19812.300781,19360.410156,19682.830078,000,19682.830078
2014-10-15,19707.630859,19707.630859,19160.130859,19617.560547,000,19617.560547
2014-10-14,19652.019531,19934.880859,19639.470703,19707.630859,000,19707.630859
2014-10-13,19975.650391,20046.580078,19644.890625,19652.019531,000,19652.019531
2014-10-10,20234.900391,20318.529297,19975.009766,19975.650391,000,19975.650391
2014-10-09,20677.580078,20677.580078,20233.369141,20234.900391,000,20234.900391
2014-10-08,20350.960938,20688.089844,20217.089844,20677.580078,000,20677.580078
2014-10-07,20665.039062,20665.039062,20349.109375,20350.960938,000,20350.960938
2014-10-06,20715.529297,20815.019531,20607.740234,20665.039062,000,20665.039062
2014-10-03,20500.460938,20750.269531,20500.460938,20715.529297,000,20715.529297
2014-10-02,20476.539062,20560.740234,20259.039062,20500.460938,000,20500.460938
2014-10-01,20760.460938,20760.460938,20428.419922,20476.539062,000,20476.539062
2014-09-30,20842.009766,20898.490234,20732.570312,20760.460938,000,20760.460938
2014-09-29,20885.669922,20885.669922,20688.460938,20842.009766,000,20842.009766
2014-09-26,20707.320312,20916.199219,20707.320312,20885.669922,000,20885.669922
2014-09-25,21038.169922,21038.169922,20707.310547,20707.320312,000,20707.320312
2014-09-24,20877.00,21055.080078,20833.539062,21038.169922,000,21038.169922
2014-09-23,21008.369141,21024.570312,20877.00,20877.00,000,20877.00
2014-09-22,21219.880859,21219.880859,20976.859375,21008.369141,000,21008.369141
2014-09-19,21254.009766,21329.330078,21172.140625,21219.880859,000,21219.880859
2014-09-18,21160.720703,21263.509766,21160.720703,21254.009766,000,21254.009766
2014-09-17,21128.769531,21258.359375,21076.019531,21160.720703,000,21160.720703
2014-09-16,20978.919922,21160.949219,20925.599609,21128.769531,000,21128.769531
2014-09-15,21041.429688,21041.429688,20933.150391,20978.919922,000,20978.919922
2014-09-12,21182.539062,21182.539062,20986.390625,21041.429688,000,21041.429688
2014-09-11,21151.839844,21183.320312,21054.910156,21182.539062,000,21182.539062
2014-09-10,21075.320312,21158.580078,21017.279297,21151.839844,000,21151.839844
2014-09-09,21221.960938,21221.960938,21038.199219,21075.320312,000,21075.320312
2014-09-08,21270.320312,21276.679688,21153.490234,21221.960938,000,21221.960938
2014-09-05,21169.980469,21270.320312,21088.509766,21270.320312,000,21270.320312
2014-09-04,21213.179688,21319.710938,21119.759766,21169.980469,000,21169.980469
2014-09-03,21244.429688,21318.00,21187.720703,21213.179688,000,21213.179688
2014-09-02,21233.890625,21277.509766,21162.960938,21244.429688,000,21244.429688
2014-08-29,21150.550781,21234.369141,21132.019531,21233.830078,000,21233.830078
2014-08-28,21192.480469,21192.480469,21084.039062,21150.550781,000,21150.550781
2014-08-27,21193.539062,21218.080078,21153.890625,21192.480469,000,21192.480469
2014-08-26,21153.169922,21236.75,21153.169922,21193.539062,000,21193.539062
2014-08-25,21054.859375,21196.339844,21054.859375,21153.169922,000,21153.169922
2014-08-22,21084.509766,21093.900391,21006.060547,21054.859375,000,21054.859375
2014-08-21,21031.550781,21106.560547,21014.330078,21084.509766,000,21084.509766
2014-08-20,20989.230469,21051.949219,20941.539062,21031.550781,000,21031.550781
2014-08-19,20892.619141,20998.349609,20892.619141,20989.230469,000,20989.230469
2014-08-18,20704.880859,20892.789062,20704.880859,20892.619141,000,20892.619141
2014-08-15,20704.330078,20802.269531,20563.929688,20704.880859,000,20704.880859
2014-08-14,20617.509766,20704.410156,20617.509766,20704.330078,000,20704.330078
2014-08-13,20476.169922,20633.859375,20476.169922,20617.509766,000,20617.509766
2014-08-12,20527.130859,20552.449219,20418.160156,20476.169922,000,20476.169922
2014-08-11,20436.160156,20611.970703,20436.160156,20527.130859,000,20527.130859
2014-08-08,20216.380859,20444.019531,20206.179688,20436.160156,000,20436.160156
